"행정구역별","항목","단위","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"횡성군","논벼:재배면적[ha]","ha","4442","4192","4124","3914","3858","3762","3437","3356","3425","3367","3281","3225","2849","2982","2730","2388","2353","2226.9459","2083.8139","2123.9524","2190.4506","2167.1808","2174.7382","1984.6126","2076.8092",
"횡성군","논벼:10a당 생산량[kg]","kg","457","490","481","414","495","467","458.49527","459.59276","492.05888","507.47643","442.49247","476.28398","496.20432","497.2196","517.01995","522.14139","534.69437","495.89127","526.8932","523.04041","482.09647","527.3796","499.8318","520.4708","528.0764",
"횡성군","논벼:생산량[톤]","톤","20300","20535","19828","16211","19114","17572","15758","15423.93286","16853.01672","17086.73141","14518.17798","15360.15836","14136.8612","14827.08841","14114.64455","12468.73649","12581.35842","11043.2304","10979.47367","11109.12927","10560.08512","11429.2696","10870.034","10329.3289","10967.1403",
"영월군","논벼:재배면적[ha]","ha","1100","1088","1058","985","900","869","813","814","817","882","753","545","492","400","419","357","426","397.6761","376.4047","402.0111","380.5711","300.3403","284.8139","256.673","250.7482",
"영월군","논벼:10a당 생산량[kg]","kg","484","467","467","435","467","495","444.99604","437.11103","490.57129","500.70499","467.20494","482.15517","489.22281","460.19116","520.99404","537.05537","565.0012","493.53224","505.64663","504.24604","456.23426","486.9875","466.9925","477.0739","507.2593",
"영월군","논벼:생산량[톤]","톤","5321","5076","4937","4288","4201","4305","3618","3558.08376","4007.96746","4416.21801","3518.05319","2627.7457","2406.97621","1840.76466","2182.96505","1917.28767","2406.90513","1962.65975","1903.27769","2027.12504","1736.29574","1462.6197","1330.0596","1224.5199","1271.9435",
"평창군","논벼:재배면적[ha]","ha","1003","1005","963","968","923","934","817","707","610","584","578","454","460","444","386","357","264","233.7403","235.0261","270.6965","237.0348","306.5789","245.4853","213.6137","175.0049",
"평창군","논벼:10a당 생산량[kg]","kg","465","532","494","437","447","489","451.61883","436.30371","490.57129","500.70499","467.20494","482.15517","489.22281","460.19116","520.99404","537.05537","565.0012","493.53224","505.64663","504.24604","456.23426","486.9875","466.9925","477.0739","507.2593",
"평창군","논벼:생산량[톤]","톤","4663","5351","4756","4228","4130","4565","3690","3084.66726","2992.48489","2924.11714","2700.44455","2188.98449","2250.42492","2043.24877","2011.03701","1917.28767","1491.60318","1153.58373","1188.40156","1364.97638","1081.43396","1493.0009","1146.398","1019.0952","887.7286",
"정선군","논벼:재배면적[ha]","ha","606","600","595","556","554","540","461","428","440","393","356","235","158","185","225","287","194","148.5827","166.5169","148.7352","124.9748","182.2433","178.4627","178.5038","185.4909",
"정선군","논벼:10a당 생산량[kg]","kg","462","519","446","403","478","493","479.27563","464.21616","490.57129","500.70499","467.20494","482.15517","489.22281","460.19116","520.99404","537.05537","565.0012","493.53224","505.64663","504.24604","456.23426","486.9875","466.9925","477.0739","507.2593",
"정선군","논벼:생산량[톤]","톤","2797","3114","2653","2238","2648","2664","2209","1986.84517","2158.51369","1967.77061","1663.24958","1133.06466","772.97204","851.35365","1172.2366","1541.34891","1096.10233","733.30352","841.9871","749.99135","570.17785","887.5021","833.4074","851.5951","940.9198",
